idproducto,descripcion,idgrupo
15018,MEZCAL 400 CONEJOS,15
15019,SANGRÍA,15
15020,BUCHANANS 12,15
15021,MATUSALEM GRAN RESERVA,15
15022,TRADICIONAL DOBLE,15
15023,COPA MATUSALEM GRANRESERVA,15
16001,CAMARONES RIVIERA 42 CON SALSA NEGRA,18
17001,CAMARONES AL COCO,18
20001,MIERCOLES DE PIZZA,20
20002,DOS POR UNA,20
